Datetime,,total
2020,09:00:00,967.0547601825001
2020,09:15:00,961.5212867475
2020,09:30:00,981.29882013375
2020,09:45:00,1006.9177280550001
2020,10:00:00,1004.8570032075002
2020,10:15:00,1014.4992484500001
2020,10:30:00,1045.6712499975
2020,10:45:00,1040.34785216625
2020,11:00:00,1085.3464009199997
2020,11:15:00,1077.87854953875
2020,11:30:00,1111.8940624537502
2020,11:45:00,1114.11454888125
2020,12:00:00,1145.80571425875
2020,12:15:00,1159.78062499125
2020,12:30:00,1157.38422148875
2020,12:45:00,1209.3811799887499
2020,13:00:00,1198.6051401
2020,13:15:00,1223.7616162875001
2020,13:30:00,1264.8683113875002
2020,13:45:00,1258.20833334375
2020,14:00:00,1264.1950343475
2020,14:15:00,1302.3346112887502
2020,14:30:00,1321.743522675
2020,14:45:00,1313.8142982937502
2020,15:00:00,1327.7505912525
2020,15:15:00,1317.2046428475
2020,15:30:00,1316.51063599875
2020,15:45:00,1326.4530974737502
2020,16:00:00,1336.591666695
2020,16:15:00,1318.1897505375
2020,16:30:00,1333.88827384875
2020,16:45:00,1337.9755263675002
2020,17:00:00,1327.1376490462499
2020,17:15:00,1332.27297795
2020,17:30:00,1321.57643385
2020,17:45:00,1285.6477631550001
2020,18:00:00,1272.761278245
2020,18:15:00,1238.36666673
2020,18:30:00,1198.0500000000002
2020,18:45:00,1143.7886365049999
2020,19:00:00,1080.02428575
2020,19:15:00,1029.71666667
2020,19:30:00,1004.76948525
2020,19:45:00,982.3497062400002
2020,20:00:00,981.4780960649999
2020,20:15:00,978.09375
2020,20:30:00,972.1680451349999
2020,20:45:00,971.4375
2020,21:00:00,971.3903509050001
2020,21:15:00,959.5796918550001
2020,21:30:00,960.450833355
2020,21:45:00,954.841666605
2020,22:00:00,946.5285713400001
2020,22:15:00,942.0434210999999
2020,22:30:00,930.9039474450001
2020,22:45:00,926.2239216000002
2020,23:00:00,926.299999995
2020,23:15:00,928.3577206499999
2020,23:30:00,932.8355994450001
2020,23:45:00,925.8250000500001
